App Version,Event Name,Event Value,User Agent,Customer User ID
6.1.0,af_start_trial,"{""af_currency"":""UAH"",""af_price"":""0"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_start_trial_year,"{""af_currency"":""UAH"",""af_price"":""0"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_activation_rev,"{""af_currency"":""UAH"",""af_revenue"":""249.995"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_start_trial_rev,"{""af_currency"":""UAH"",""af_revenue"":""249.995"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_activation,"{""af_currency"":""UAH"",""af_revenue"":""0"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_subscribe,"{""af_currency"":""UAH"",""af_revenue"":""89.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-P610 Build/RP1A.200720.012),778c5ef9-c7fd-4e3c-a04d-783d412a31e6
6.1.0,af_subscribe_month,"{""af_currency"":""UAH"",""af_revenue"":""89.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-P610 Build/RP1A.200720.012),778c5ef9-c7fd-4e3c-a04d-783d412a31e6
6.1.0,af_activation_rev,"{""af_currency"":""UAH"",""af_revenue"":""89.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-P610 Build/RP1A.200720.012),778c5ef9-c7fd-4e3c-a04d-783d412a31e6
6.1.0,af_activation,"{""af_currency"":""UAH"",""af_revenue"":""89.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-P610 Build/RP1A.200720.012),778c5ef9-c7fd-4e3c-a04d-783d412a31e6
6.1.0,af_subscribe,"{""af_currency"":""UAH"",""af_revenue"":""499.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_activation,"{""af_currency"":""UAH"",""af_revenue"":""499.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_activation_rev,"{""af_currency"":""UAH"",""af_revenue"":""499.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_subscribe_year,"{""af_currency"":""UAH"",""af_revenue"":""499.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.year.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_subscribe_month,"{""af_currency"":""UAH"",""af_revenue"":""89.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_subscribe,"{""af_currency"":""UAH"",""af_revenue"":""89.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_activation,"{""af_currency"":""UAH"",""af_revenue"":""0"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_start_trial_rev,"{""af_currency"":""UAH"",""af_revenue"":""44.995"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_start_trial_month,"{""af_currency"":""UAH"",""af_price"":""0"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_start_trial,"{""af_currency"":""UAH"",""af_price"":""0"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_activation_rev,"{""af_currency"":""UAH"",""af_revenue"":""44.995"",""af_subscription_id"":""com.binibambini.drawingforgirls.month.free07.price00""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_purchase,"{""af_currency"":""UAH"",""af_content_id"":""com.binibambini.drawingforgirls.non.buyall.price02"",""af_revenue"":""189.99""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_activation_rev,"{""af_currency"":""UAH"",""af_revenue"":""189.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.non.buyall.price02""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,af_activation,"{""af_currency"":""UAH"",""af_revenue"":""189.99"",""af_subscription_id"":""com.binibambini.drawingforgirls.non.buyall.price02""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""f4a0e617-2e92-44e0-8d13-3a46866b6b27"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001236"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""b1f46a78-874f-47cf-8f1a-f155b1dca117"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001267"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,app_ad_interstitial_impression,"{""country_code"":""null"",""impression_id"":""b06db67a-728b-4b4a-a52a-47d0274165fd"",""precision"":""3"",""format"":""inter"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001557"",""unit_id"":""ca-app-pub-6560243855553100\/9297691233""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""a7c02a6f-3a19-42bd-8d32-6c04860b0d8a"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001252"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),a420711e-6cf6-424d-8613-f860d1715019
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""d8e4abab-13a7-4438-8d6a-7331d21efcb0"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001224"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""05697f9d-e45b-40ba-85d0-7dae46228f65"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001203"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""29aa0b99-44b7-476a-bbc5-60f32fab65de"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001241"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""791e5a6d-0c33-4cda-b7b9-f0f45a8522f6"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001201"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""b5a33277-0c1a-4867-b37f-8df1c1917504"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.00122"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""5dbdbf5f-9ad3-4ca3-8e41-4649da3c2cae"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001232"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""6d5bb1db-2258-40b5-bdef-c1bf9ef0c24e"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001235"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""485473c9-09a1-4683-9b6f-d7cfb256da01"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001238"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
6.1.0,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""e138d448-7925-49bd-ae0e-4f491b7489f8"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001203"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",Dalvik/2.1.0 (Linux; U; Android 11; SM-A325F Build/RP1A.200720.012),8b35a57a-55c7-4d80-b2da-4f2709d0436c
